"cat_id","categoria","subcat_id_1","subcategoria_1","subcat_id_2","subcategoria_2","subcat_id_3","subcategoria_3","subcat_id_4","subcategoria_4","subcat_id_5","subcategoria_5","subcat_id_6","subcategoria_6"
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM180527","Fundas","MLM22610","Cubiertas de Llantas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM180527","Fundas","MLM73294","Fundas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM180527","Fundas","MLM180528","Otras",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM180525","Loderas",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM22611","Portaequipajes","MLM92139","Barras Porta Equipajes",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM22611","Portaequipajes","MLM157354","Bolsas Porta Equipajes",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM22611","Portaequipajes","MLM157355","Canastillas Porta Equipajes",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM22611","Portaequipajes","MLM437644","Ganchos, Cintas y Elásticos",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM22611","Portaequipajes","MLM92135","Otras",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM45905","Sensores de Reversa",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM180520","Snorkel",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM432998","Tapas de Barras Portaequipajes",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM62402","Tirones","MLM437645","Acoples",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM62402","Tirones","MLM179796","Bola para Remolques",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92132","Accesorios para el Exterior","MLM62402","Tirones","MLM431959","Conectores para Remolques",NA,NA,NA,NA
